doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;source,,,,
"1;09.10.24 13:01;""Me: What do you want?<br>",,,,
"Client:"";https://pbs.twimg.com/media/GZc0VHLWIAAz0Dn?format=jpg&name=medium;;299;117;18;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1844000112650887356",,,,
2;09.10.24 06:03;When a couple broke up but you’re best friends with both sides;https://pbs.twimg.com/media/GZa5MalXQAArkm3?format=jpg&name=4096x4096;;742;196;10;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1843864723487445068,,,,
3;09.10.24 12:01;cause I needed to sit straight and pay 100% attention;https://pbs.twimg.com/media/GZZmVrCXwAEoLeE?format=jpg&name=4096x4096;;463;76;18;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1843773623602942300,,,,
4;09.10.24 15:01;Remote workers at 8:58am before a 9am meeting;https://pbs.twimg.com/media/GZXqvdKXYAAlpnS?format=jpg&name=medium;;47123;4210;149;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1843637726043660759,,,,
5;09.10.24 06:02;The only people who remember my birthday;https://pbs.twimg.com/media/GZQlyJWXkAAHCQO?format=jpg&name=medium;;2432;578;20;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1843139694055309655,,,,
6;09.10.24 15:39;When the interviewer says ‘Tell me about yourself’ and you suddenly can’t remember anything;https://pbs.twimg.com/media/GZNgQsCWsAAbaJG?format=jpg&name=medium;;257;73;8;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1842922515456250065,,,,
7;09.10.24 06:03;literally;https://pbs.twimg.com/media/GZLcbOOXIAE_Xdv?format=jpg&name=4096x4096;;959;189;15;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1842777561148882953,,,,
"8;09.10.24 06:01;""“So why do you want this job?”<br>",,,,
"Me:"";https://pbs.twimg.com/media/GZGSYIJW4AAfrB5?format=jpg&name=4096x4096;;370;104;20;9GAG ❤️ Memeland;9GAG;Building @MEMELAND one meme at a time • 📧 9gag@9gag.com • CEO ➡️  @9gagceo.;https://upload.wikimedia.org/wikipedia/commons/e/e9/9gag_logo.png;168123123;0;0;;A;;https://twitter.com/9GAG/status/1842414669539037493",,,,
